ADIDU,no_corr,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
24750239,0,9,24,358,349,253,259,224,195,123,45
24750241,0,1,5,102,120,75,59,64,53,52,16
24750242,0,2,0,62,64,36,38,41,31,23,3
24750243,0,0,5,49,58,27,28,22,25,16,4
24750244,0,8,18,307,354,217,230,258,182,122,45
24750245,0,4,9,121,139,76,100,85,69,54,21
24750247,0,5,24,254,297,200,195,195,173,95,32
24750248,0,9,45,457,538,349,393,364,265,185,47
24760048,0,3,10,118,171,116,110,101,78,63,25
24760049,0,2,6,67,99,64,61,55,44,37,15
24760050,0,2,8,102,147,116,96,108,86,64,24
24760051,0,3,10,111,160,121,108,127,94,77,32
24760052,0,2,4,65,88,69,61,92,61,55,23
24760053,0,1,3,62,56,42,48,62,48,38,11
24760054,0,1,2,82,76,59,65,62,41,36,15
24760055,0,0,2,57,55,43,45,52,37,16,9
24760056,0,0,4,61,66,48,47,34,33,15,6
24760057,0,0,2,57,73,42,51,34,26,21,6
24760058,0,0,1,79,82,71,47,55,37,13,5
24760059,0,0,1,66,66,59,43,25,22,14,12
24760060,0,0,1,69,68,37,44,38,31,20,7
24760061,0,3,9,177,202,132,116,102,76,47,21
24760062,0,0,9,234,206,143,120,116,71,50,15
24760063,0,0,2,53,52,50,44,27,35,14,11
24760064,0,0,1,80,97,66,63,41,33,14,5
24760065,0,0,0,64,74,56,56,41,51,29,15
24760066,0,0,2,56,57,50,41,39,38,20,9
24760067,0,1,8,104,107,83,88,66,57,37,12
24760068,0,0,4,36,42,30,38,33,15,9,5
24760069,0,1,0,58,33,44,41,42,31,16,5
24760070,0,2,2,55,58,48,39,55,40,24,10
24760071,0,2,4,129,162,125,143,133,99,79,26
24760072,0,0,0,52,69,49,68,75,42,38,18
24760073,0,1,3,79,98,66,68,53,55,49,27
24760074,0,0,5,78,100,85,72,71,67,49,20
24760075,0,0,3,73,83,62,44,52,41,36,12
24760076,0,0,4,73,96,66,62,60,42,34,21
24760077,0,0,4,92,94,96,81,72,65,56,20
24760078,0,0,3,78,91,71,57,48,47,51,21
24760079,0,0,4,63,77,62,74,69,60,61,32
24760080,0,0,3,50,60,40,39,40,67,40,18
24760081,0,0,2,33,49,35,35,44,38,29,13
24760082,0,0,6,118,123,99,79,83,66,48,31
24760083,0,0,5,101,105,85,68,71,58,42,27
24760084,0,0,3,55,81,57,58,73,63,49,21
24760085,0,2,3,70,87,62,66,63,52,48,17
24760086,0,0,2,39,57,41,41,52,44,34,15
24760087,0,0,5,84,125,89,89,113,97,75,33
24760088,0,0,2,84,111,89,97,89,89,85,29
24760089,0,0,3,52,77,54,55,69,59,46,20
24760090,0,1,2,53,61,49,42,45,39,27,14
24760091,0,1,2,59,68,54,47,50,44,30,15
24760092,0,1,2,71,81,65,57,60,52,36,18
24760093,0,1,3,108,123,99,86,92,80,54,28
24760094,0,1,2,68,78,63,54,58,50,34,17
24760095,0,0,4,47,71,43,43,48,44,27,15
24770064,0,2,9,116,140,103,96,106,78,57,19
24770065,0,0,5,17,26,19,21,20,26,10,0
24770066,0,0,0,2,2,2,2,2,1,1,0
24770067,0,2,7,86,104,76,70,79,57,42,13
24770068,0,1,5,65,79,58,54,60,43,32,10
24770069,0,1,7,87,107,75,69,75,52,38,12
24770070,0,5,16,164,205,161,151,117,90,55,13
24770071,0,3,14,134,180,112,121,111,73,54,13
24770072,0,1,3,86,97,61,64,37,25,20,8
24770073,0,1,5,110,112,57,66,60,39,16,9
24770074,0,1,2,77,70,38,42,40,26,17,6
24770075,0,0,3,80,78,42,40,31,20,9,8
24770076,0,0,5,102,110,74,58,57,37,18,3
24770077,0,2,5,94,115,79,71,76,36,14,9
24770078,0,0,9,110,129,104,82,68,33,10,6
24770079,0,2,5,166,191,111,119,97,78,37,21
24770080,0,1,4,103,137,79,69,64,34,36,6
24770081,0,5,16,130,202,151,151,141,78,38,16
24770082,0,3,9,72,112,84,84,78,43,21,9
24770083,0,5,15,137,197,152,153,137,79,39,15
24770084,0,2,6,80,95,66,66,49,32,10,5
24770085,0,1,11,117,148,99,101,80,47,17,8
24770086,0,0,9,71,97,74,81,70,40,23,10
24770087,0,2,8,52,70,54,59,52,33,19,8
24770088,0,5,15,108,140,107,113,102,67,34,14
24770089,0,4,11,101,132,101,101,93,63,32,11
24770090,0,0,5,58,69,56,55,51,35,18,5
24770091,0,0,4,64,75,59,58,53,41,21,6
24770092,0,2,7,85,101,83,85,64,45,22,6
24770093,0,2,7,67,98,78,74,65,43,20,8
24770094,0,4,15,123,207,164,135,131,90,51,15
24770095,0,1,5,41,69,56,45,43,31,18,5
24770096,0,1,11,86,139,117,92,84,64,40,9
24770097,1,2,12,84,132,119,93,81,64,42,9
24770098,0,2,8,78,108,86,83,83,52,37,13
24770099,0,2,8,84,116,92,89,89,56,39,14
24770100,0,2,9,86,119,94,91,92,57,41,14
24770101,0,1,7,73,101,80,78,78,49,34,12
24770102,0,2,11,117,162,128,124,124,78,55,19
24770103,0,2,10,88,176,133,134,107,80,44,20
24770104,0,1,15,170,230,175,137,130,78,53,11
24770105,0,1,11,204,214,168,147,160,101,56,26
24770106,0,2,5,72,98,70,73,64,50,33,14
24770107,0,2,5,67,92,66,69,60,47,32,13
24770108,0,2,6,72,98,70,73,64,50,34,14
24770109,0,3,8,99,135,96,100,88,69,46,20
24770110,1,1,7,83,113,81,84,74,58,39,16
24770111,0,1,3,64,102,70,83,92,69,52,29
24770112,0,0,0,25,32,17,23,23,16,19,1
24770113,0,1,2,51,80,56,64,73,55,42,23
24770114,0,6,21,170,247,187,163,175,107,67,20
24770115,0,3,9,72,105,80,70,74,46,28,8
24770116,0,4,12,93,135,103,89,96,59,37,11
24770117,1,2,8,59,85,64,57,59,37,23,7
24780099,0,0,6,81,98,79,67,70,47,45,16
24780100,0,0,6,59,88,81,66,52,46,30,11
24780101,0,2,6,45,64,71,65,51,39,23,5
24780102,0,0,2,26,45,37,44,41,33,18,7
24780103,0,2,8,54,53,63,52,60,41,23,14
24780104,0,0,2,60,73,47,43,40,45,31,9
24780105,0,1,4,110,135,87,79,73,84,56,17
24780106,0,1,4,122,156,90,93,83,100,74,24
24780107,0,1,3,80,102,59,61,54,65,48,15
24780108,0,0,0,0,4,12,4,5,8,4,1
24780109,0,0,1,43,54,31,32,29,35,26,8
24780110,0,1,2,52,66,38,39,35,42,31,10
24780111,0,0,5,60,79,53,56,56,46,48,18
24780112,0,1,5,66,88,59,62,62,50,53,20
24780113,0,1,6,78,99,85,76,99,75,67,25
24780114,0,1,4,69,71,47,47,48,36,35,10
24780115,0,0,4,68,70,46,46,48,36,34,10
24780116,0,2,7,73,91,67,71,58,37,34,7
24780117,0,0,3,65,62,39,43,33,27,24,5
24780118,0,0,4,63,78,45,39,34,26,14,2
24780119,0,1,9,110,121,84,84,62,46,24,6
24780120,0,0,2,65,79,40,45,34,28,15,4
